object_type,schema_name,object_name,parent_object,extra_info,owner,comment
schema,realtime,realtime,null,null,supabase_admin,null
schema,extensions,extensions,null,null,postgres,null
schema,vault,vault,null,null,supabase_admin,null
schema,graphql_public,graphql_public,null,null,supabase_admin,null
schema,graphql,graphql,null,null,supabase_admin,null
schema,public,public,null,null,pg_database_owner,standard public schema
schema,public,public,null,null,pg_database_owner,standard public schema
schema,net,net,null,null,supabase_admin,null
schema,supabase_functions,supabase_functions,null,null,supabase_admin,null
schema,supabase_migrations,supabase_migrations,null,null,postgres,null
schema,auth,auth,null,null,supabase_admin,null
schema,storage,storage,null,null,supabase_admin,null
table,extensions,pg_stat_statements_info,null,view,postgres,null
table,extensions,pg_stat_statements,null,view,postgres,null
table,auth,sso_domains,null,table,supabase_auth_admin,Auth: Manages SSO email address domain mapping to an SSO Identity Provider.
table,auth,saml_providers,null,table,supabase_auth_admin,Auth: Manages SAML Identity Provider connections.
table,auth,sso_providers,null,table,supabase_auth_admin,Auth: Manages SSO identity provider information; see saml_providers for SAML.
table,supabase_migrations,schema_migrations,null,table,postgres,null
table,supabase_migrations,seed_files,null,table,postgres,null
table,auth,schema_migrations,null,table,supabase_auth_admin,Auth: Manages updates to the auth system.
table,auth,instances,null,table,supabase_auth_admin,Auth: Manages users across multiple sites.
table,auth,users,null,table,supabase_auth_admin,Auth: Stores user login data within a secure schema.
table,auth,audit_log_entries,null,table,supabase_auth_admin,Auth: Audit trail for user actions.
table,public,produto_categorias,null,table,postgres,null
table,storage,buckets,null,table,supabase_storage_admin,null
table,public,usuarios,null,table,postgres,null
table,storage,migrations,null,table,supabase_storage_admin,null
table,auth,refresh_tokens,null,table,supabase_auth_admin,Auth: Store of tokens used to refresh JWT tokens once they expire.
table,vault,secrets,null,table,supabase_admin,Table with encrypted `secret` column for storing sensitive information on disk.
table,vault,decrypted_secrets,null,view,supabase_admin,null
table,auth,saml_relay_states,null,table,supabase_auth_admin,Auth: Contains SAML Relay State information for each Service Provider initiated login.
table,auth,flow_state,null,table,supabase_auth_admin,stores metadata for pkce logins
table,auth,identities,null,table,supabase_auth_admin,Auth: Stores identities associated to a user.
table,auth,mfa_amr_claims,null,table,supabase_auth_admin,auth: stores authenticator method reference claims for multi factor authentication
table,auth,one_time_tokens,null,table,supabase_auth_admin,null
table,public,vendas,null,table,postgres,null
table,auth,mfa_challenges,null,table,supabase_auth_admin,auth: stores metadata about challenge requests made
table,public,itens_venda,null,table,postgres,null
table,auth,sessions,null,table,supabase_auth_admin,Auth: Stores session data associated to a user.
table,realtime,schema_migrations,null,table,supabase_admin,null
table,realtime,subscription,null,table,supabase_admin,null
table,public,v_agendamento_participantes,null,view,postgres,null
table,storage,s3_multipart_uploads_parts,null,table,supabase_storage_admin,null
table,storage,s3_multipart_uploads,null,table,supabase_storage_admin,null
table,public,quadras,null,table,postgres,null
table,public,quadras,null,table,postgres,null
table,public,agendamento_participantes,null,table,postgres,Cotas de valor por participante do agendamento
table,public,estoque_baixa_log,null,table,postgres,null
table,public,empresa_counters,null,table,postgres,null
table,public,colaboradores,null,table,postgres,null
table,storage,buckets_analytics,null,table,supabase_storage_admin,null
table,public,agendamentos,null,table,postgres,null
table,realtime,messages_2025_12_09,null,table,supabase_admin,null
table,realtime,messages_2025_12_09,null,table,supabase_admin,null
table,public,agendamentos,null,table,postgres,null
table,storage,prefixes,null,table,supabase_storage_admin,null
table,public,produtos,null,table,postgres,null
table,public,movimentos_saldo,null,table,postgres,null
table,public,comanda_clientes,null,table,postgres,null
table,public,caixa_sessoes,null,table,postgres,null
table,public,quadras_dias_funcionamento,null,table,postgres,Configuração de dias de funcionamento das quadras por dia da semana e fechamentos específicos
table,public,contas_receber,null,table,postgres,null
table,public,comanda_clientes,null,table,postgres,null
table,public,caixa_sessoes,null,table,postgres,null
table,public,quadras_dias_funcionamento,null,table,postgres,Configuração de dias de funcionamento das quadras por dia da semana e fechamentos específicos
table,public,contas_receber,null,table,postgres,null
table,public,contas_receber_baixas,null,table,postgres,null
table,auth,oauth_authorizations,null,table,supabase_auth_admin,null
table,public,compras,null,table,postgres,Registro de compras (NF-es de entrada) importadas via XML
table,public,compras_itens,null,table,postgres,Itens individuais de cada compra (NF-e)
table,public,compras,null,table,postgres,Registro de compras (NF-es de entrada) importadas via XML
table,public,compras_itens,null,table,postgres,Itens individuais de cada compra (NF-e)
table,public,v_agendamentos_detalhado,null,view,postgres,"View detalhada dos agendamentos com participantes e finalizadoras. 
Cada linha representa um participante do agendamento. 
Agendamentos sem participantes também aparecem (com dados de participante NULL)."
table,auth,oauth_consents,null,table,supabase_auth_admin,null
table,public,pagamentos,null,table,postgres,null
table,public,mesas,null,table,postgres,null
table,public,mesas,null,table,postgres,null
table,public,caixa_movimentos,null,table,postgres,null
table,auth,oauth_clients,null,table,supabase_auth_admin,null
table,public,agenda_settings,null,table,postgres,Configurações de automação da agenda por empresa (1:1 com empresas).
table,realtime,messages_2025_12_06,null,table,supabase_admin,null
table,realtime,messages_2025_12_06,null,table,supabase_admin,null
table,public,finalizadoras,null,table,postgres,null
table,storage,buckets_vectors,null,table,supabase_storage_admin,null
table,storage,vector_indexes,null,table,supabase_storage_admin,null
table,auth,mfa_factors,null,table,supabase_auth_admin,auth: stores metadata about factors
table,public,caixa_resumos,null,table,postgres,null
table,public,v_agendamentos_isis,null,view,postgres,null
table,storage,objects,null,table,supabase_storage_admin,null
table,public,caixa_movimentacoes,null,table,postgres,null
table,public,clientes,null,table,postgres,null
table,public,estoque_reservado,null,table,postgres,Controle de estoque reservado para evitar overselling
